MUNICIPIO,LOCALIDAD, HABITANTES ,LATITUD,LONGITUD,
Zinacant·n,Nachig,3260,16.730556,-92.725278,
Tec·mac,Fraccionamiento Santa Cruz Tec·mac,3260,19.69851,-98.94198,
NocupÈtaro,NocupÈtaro de Morelos,3260,19.0431,-101.16158,
Sayula de Alem·n,Aguilera,3260,17.81091,-95.01522,
Tepanco de LÛpez,San AndrÈs Cacaloapan,3263,18.58407,-97.58674,
Mayap·n,Mayap·n,3263,20.46782,-89.21404,
Hunucm·,Tex·n de Palomeque,3264,20.93402,-89.83088,
Zempoala,Jag¸ey de TÈllez (EstaciÛn TÈllez),3266,19.97837,-98.78799,
Otzolotepec,Zona N˙mero Cuatro San Mateo Capulhuac,3267,19.471111,-99.535278,
Cuajinicuilapa,San Nicol·s,3267,16.4166,-98.52137,
Zacapoaxtla,Las Lomas,3268,19.82386,-97.60951,
Pajacuar·n,La Luz,3270,20.14985,-102.47911,
Cenotillo,Cenotillo,3272,20.96698,-88.60776,
Nogales,AgrÌcola L·zaro C·rdenas,3273,18.81355,-97.19825,
Huichapan,Tlaxcalilla,3274,20.38473,-99.80991,
Tepalcingo,Ixtlilco el Grande,3274,18.52482,-98.8331,
Guanajuato,CaÒada de Bustos,3275,20.908056,-101.313611,
Ixtepec,Ixtepec,3276,20.02573,-97.64576,
TizimÌn,Popoln·h,3276,20.9929,-87.5638,
Soteapan,Morelos,3277,18.17921,-94.95019,
Ensenada,Ejido MÈxico (Punta Colonet),3278,31.06496,-116.20672,
Zapotl·n del Rey,Zapotl·n del Rey,3280,20.46457,-102.9251,
Soteapan,Ocozotepec,3282,18.25761,-94.90776,
Zamora,Atecucario de la ConstituciÛn (Atecuario),3283,20.06817,-102.23817,
Atitalaquia,Tlamaco (San GerÛnimo Tlamaco),3285,20.03563,-99.23126,
C·rdenas,Poblado C-22 Licenciado JosÈ MarÌa Pino Su·rez,3286,18.06642,-93.62658,
Melchor Ocampo,Lomas de Tenopalco,3288,19.701944,-99.110833,
Tochimilco,Tochimilco,3289,18.89086,-98.5726,
NezahualcÛyotl,Colonia Gustavo Baz Prada,3291,19.421389,-99.013611,
Villa Aldama,Villa Aldama,3291,19.64868,-97.22341,
Guadalupe y Calvo,Baborigame,3294,26.4253,-107.2617,
Comalcalco,Reyes Hern·ndez 2da. SecciÛn,3294,18.24001,-93.2546,
Ometepec,Acatepec,3296,16.73767,-98.42755,
Acapulco de Ju·rez,Amatillo,3298,16.82064,-99.66654,
Temoaya,Temoaya,3301,19.46852,-99.595,
Ixtlahuaca,San Lorenzo Toxico,3302,19.509167,-99.762778,
Cuautitl·n,Barrio Tlatenco,3305,19.739167,-99.191667,
Jopala,Chicontla,3305,20.2445,-97.82946,
Tlahuapan,San Miguel Tianguistenco,3306,19.29401,-98.53029,
Durango,El Nayar,3308,23.95993,-104.69888,
Villa Aldama,Colonia Libertad,3308,19.67774,-97.21344,
Zinacantepec,San Bartolo el Viejo,3312,19.298889,-99.823889,
Jes˙s MarÌa,Arboledas Paso Blanco [Fraccionamiento],3313,21.96283,-102.30024,
Uxpanapa,Poblado 10,3315,17.27707,-94.45185,
Espinal,Entabladero,3316,20.27612,-97.54855,
Chiautla,Ocopulco,3317,19.59186,-98.89469,
SoyalÛ,Francisco Sarabia,3318,16.94601,-93.01249,
Angostura,Colonia Independencia (Chinitos),3318,25.05688,-107.91826,
TamuÌn,Nuevo TampaÛn,3321,22.06209,-98.56735,
Palmar de Bravo,La PurÌsima,3322,18.83076,-97.5759,
Huixquilucan,San CristÛbal Texcalucan,3323,19.40259,-99.33394,
Axapusco,Axapusco,3324,19.72524,-98.75343,
Veracruz,Oasis,3325,19.201667,-96.218889,
QuerÈtaro,Colinas de Santa Cruz Segunda SecciÛn,3326,20.6233,-100.46839,
Cuautitl·n,Santa MarÌa Huecatitla,3328,19.725278,-99.169167,
Villa Corzo,Valle Morelos,3328,16.13591,-92.9987,
Chamula,Chamula,3329,16.78501,-92.68904,
Axochiapan,Atlacahualoya,3330,18.54224,-98.73243,
Mexicali,Poblado Paredones,3332,32.60492,-114.93053,
Villa de Allende,San Felipe Santiago,3332,19.39056,-100.10509,
Tlaltizap·n,Huatecalco,3332,18.67816,-99.14096,
Chiconcuautla,Chiconcuautla,3332,20.09524,-97.93814,
Santiago Tulantepec de Lugo Guerrero,Unidades Habitacionales,3333,20.06346,-98.41959,
Santa LucÌa del Camino,San Francisco Tutla,3333,17.06797,-96.67327,
Lerdo,LeÛn Guzm·n,3335,25.50043,-103.66318,
Acayucan,Corral Nuevo,3335,18.11353,-95.11541,
Tlalixcoyan,Tlalixcoyan,3335,18.80401,-96.06288,
Zacatl·n,Atzingo (La Cumbre),3336,19.97818,-97.96654,
Tultitl·n,Colonia L·zaro C·rdenas (Los Hornos),3337,19.63141,-99.15695,
BriseÒas,Paso de Hidalgo (Paso de ¡lamos),3338,20.26972,-102.54136,
San Francisco LachigolÛ,San Francisco LachigolÛ,3338,17.0228,-96.59586,
P·nuco,San Antonio del CiprÈs,3338,22.9391,-102.48941,
C·rdenas,Arroyo Hondo 1ra. SecciÛn (Santa Teresa A),3343,18.015833,-93.436667,
ChicoasÈn,ChicoasÈn,3343,16.96723,-93.10768,
Nahuatzen,Sevina,3344,19.63195,-101.89901,
Tepezal·,San Antonio,3345,22.23176,-102.25068,
Juchit·n,Juchit·n,3346,16.62684,-98.63824,
Ebano,Pujal Coy,3346,22.17482,-98.50716,
Asientos,CiÈnega Grande,3348,22.19337,-102.02028,
Tlaxcala,San Diego Metepec,3349,19.28487,-98.25671,
Santa Cruz Tlaxcala,Guadalupe Tlachco,3350,19.33152,-98.11055,
Tijuana,Lomas del Valle,3352,32.48546,-116.81035,
Atlixtac,Atlixtac,3352,17.56442,-98.9408,
Acateno,San JosÈ Acateno,3352,20.13074,-97.21017,
Ixhuatl·n de Madero,San Francisco,3353,20.552222,-98.002222,
Arriaga,Emiliano Zapata,3353,16.17368,-94.06398,
Penjamillo,Penjamillo de Degollado,3353,20.10318,-101.93372,
Chiautzingo,San Juan Tetla,3355,19.21236,-98.50518,
Sinaloa,Genaro Estrada,3355,25.93643,-108.39604,
CÛrdoba,La Luz y Trinidad Palotal,3358,18.91716,-96.94756,
AquismÛn,Tampate,3359,21.637778,-99.026945,
Salamanca,Los Prietos (El CajÛn),3359,20.57829,-101.26687,
Tonila,San Marcos,3361,19.44573,-103.50572,
Pachuca de Soto,Santiago Tlapacoya,3362,20.10264,-98.83214,
Otzolotepec,Santa Ana Mayorazgo,3365,19.429444,-99.513889,
Nacajuca,Samarkanda,3365,18.0425,-92.910833,
Teotihuac·n,San Francisco Mazapa,3365,19.68997,-98.83586,
Ensenada,L·zaro C·rdenas (Valle de la Trinidad),3366,31.40356,-115.72832,
Tepetitla de Lardiz·bal,San Mateo Ayecac,3366,19.27925,-98.39529,
San Juan de los Lagos,Colonia Santa Cecilia (La Sauceda),3369,21.256061,-102.351676,
Tepotzotl·n,CaÒada de Cisneros,3369,19.70039,-99.34534,
Ometepec,Huixtepec,3370,16.65394,-98.30539,
Agua Dulce,El Muelle (Gavil·n Norte),3370,18.16589,-94.13534,
Temixco,Cuentepec,3371,18.86273,-99.32357,
San Juan Bautista Tuxtepec,San Bartolo,3372,18.09484,-96.10698,
Cuyoaco,San AndrÈs Payuca,3372,19.52627,-97.61616,
San Felipe del Progreso,Dolores Hidalgo,3374,19.66345,-99.92598,
Te˙l de Gonz·lez Ortega,Te˙l de Gonz·lez Ortega,3374,21.46549,-103.46035,
Salinas Victoria,Ciudad SatÈlite del Norte,3375,25.91451,-100.2658,
Silao,BajÌo de Bonillas,3377,20.94956,-101.49761,
Emiliano Zapata,ChablÈ,3377,17.85917,-91.78091,
San Marcos,San Marcos,3383,20.79106,-104.19876,
Caxhuacan,Caxhuacan,3383,20.06476,-97.61095,
San Dionisio Ocotepec,San Baltazar Guelavila,3385,16.79528,-96.304,
Nacajuca,Sandial,3386,18.167222,-92.904722,
Veracruz,Las Amapolas Dos,3386,19.1398,-96.20122,
Nahuatzen,TurÌcuaro,3388,19.57026,-101.9378,
Cosoleacaque,Estero del Pantano,3388,18.09909,-94.45728,
Atoyac de ¡lvarez,El Ticui,3389,17.21652,-100.4444,
Atlixco,Santa Cruz Tehuixpango,3391,18.93908,-98.403322,
JosÈ Sixto Verduzco,San JosÈ Huipana,3396,20.27614,-101.47034,
Salvatierra,MaravatÌo del Encinal,3398,20.20372,-100.9634,
Zumpango,Santa MarÌa Cuevas (Cuevas),3398,19.86711,-99.0969,
Siltepec,Siltepec,3400,15.55512,-92.32334,
Padilla,Barretal,3400,24.0839,-99.13114,
Villa Victoria,San Marcos de la Loma,3401,19.501389,-99.959167,
San Juan del RÌo,El Cazadero,3401,20.3008,-99.87147,
Cuichapa,Providencia,3401,18.75238,-96.77193,
Quecholac,San JosÈ Tuzuapan,3404,18.90161,-97.66668,
San Salvador El Verde,San SimÛn Atzitzintla,3404,19.26229,-98.47651,
GÛmez Palacio,La Popular,3406,25.6791,-103.46605,
Soledad Etla,Soledad Etla,3407,17.16942,-96.82414,
Cuernavaca,Villa Santiago,3408,18.97935,-99.18613,
Centla,Ignacio Allende,3408,18.38724,-92.84439,
Tecuala,Quimichis,3409,22.36174,-105.53765,
Chiautempan,San Pedro MuÒoztla,3411,19.28444,-98.17021,
Ensenada,Ejido Papalote,3413,30.47082,-115.92037,
Tonal·,Cabeza de Toro,3413,15.9356,-93.78335,
Venustiano Carranza,Aguacatenango,3413,16.47278,-92.40652,
Cortazar,Tierra FrÌa,3415,20.46282,-101.03901,
Jilotepec,Canalejas,3417,19.98342,-99.61171,
Abasolo,Rancho Nuevo de la Cruz,3420,20.65021,-101.51558,
San Juan del RÌo,Visth·,3421,20.44658,-99.9736,
Huimanguillo,Libertad,3422,17.833889,-93.418333,
Almoloya de Ju·rez,Mextepec (Ex-Hacienda Mextepec),3424,19.460833,-99.891667,
Juan RodrÌguez Clara,Los Tigres (San Marcos),3425,17.89067,-95.34955,
Otumba,Cuautlacingo,3428,19.69415,-98.78302,
Morelos,Hacienda Nueva,3429,22.8246,-102.60556,
Mineral de la Reforma,PRI ChacÛn,3431,20.08193,-98.73669,
Nicol·s Romero,Puerto Mag˙,3433,19.684722,-99.375278,
Tenango del Valle,San Francisco Putla,3433,19.12352,-99.63505,
Celaya,San Antonio Gallardo,3438,20.6274,-100.7691,
Charapan,Ocumicho,3438,19.79574,-102.22281,
Santiago Matatl·n,Santiago Matatl·n,3441,16.86395,-96.38065,
Melchor Ocampo,San Francisco Tenopalco,3442,19.71464,-99.11453,
Tamazunchale,Chapulhuacanito,3445,21.21014,-98.67083,
Lerma,Santiago Analco,3446,19.33355,-99.4456,
Minatitl·n,Mapachapa,3446,18.03087,-94.56621,
C·rdenas,Poblado C-10 General L·zaro C·rdenas del RÌo,3447,18.17924,-93.56663,
Jocotepec,Zapotit·n de Hidalgo,3449,20.32435,-103.48327,
Ixtlahuaca,San JerÛnimo Ixtapantongo,3449,19.53931,-99.76317,
Santa MarÌa Tlahuitoltepec,Santa MarÌa Tlahuitoltepec,3452,17.09506,-96.06287,
LeÛn,¡lvaro ObregÛn (Santa Ana del Conde),3456,20.95824,-101.58016,
Ahome,Alfonso G. CalderÛn (Poblado Siete),3456,26.06373,-109.01987,
Santa Elena,Santa Elena,3456,20.32597,-89.64383,
San JosÈ Chiltepec,San JosÈ Chiltepec,3457,17.9465,-96.16963,
Huixquilucan,San Francisco Ayotuzco,3459,19.3649,-99.3598,
Tepango de RodrÌguez,Tepango de RodrÌguez,3461,20.00392,-97.79759,
Santiago Tuxtla,Tres Zapotes,3464,18.46836,-95.43821,
Nopaltepec,Nopaltepec,3467,19.77779,-98.71401,
Juchitl·n,Juchitl·n,3468,20.08368,-104.09966,
Temascalapa,Ixtlahuaca de CuauhtÈmoc,3468,19.88483,-98.86371,
TixpÈhual,TixpÈhual,3470,20.97779,-89.44163,
Villa Ju·rez,Villa Ju·rez,3474,22.32594,-100.26722,
Angel Albino Corzo,Nueva Palestina,3475,15.80563,-92.74951,
Tula de Allende,Santa MarÌa Ilucan,3475,19.99216,-99.33965,
Tlilapan,Tlilapan,3476,18.806,-97.09949,
Guanajuato,La Sauceda (Santa Fe de Guadalupe),3478,20.89741,-101.19054,
Almoloya de Ju·rez,Mina MÈxico,3479,19.408889,-99.729445,
Venustiano Carranza,Ricardo Flores MagÛn,3483,16.39444,-92.69657,
Ju·rez,San Isidro (RÌo Grande),3483,31.54744,-106.28176,
San JerÛnimo Zacualpan,San JerÛnimo Zacualpan,3485,19.24246,-98.26431,
Fresnillo,EstaciÛn San JosÈ,3487,23.18947,-102.78842,
Milpa Alta,San Nicol·s Tetelco,3490,19.20942,-98.97099,
Tamazula de Gordiano,Vista Hermosa (Santa Cruz del Cortijo),3490,19.69327,-103.3377,
Kantunil,Kantunil,3491,20.79759,-89.03538,
Zacualpan,Zacualpan de Amilpas,3492,18.78721,-98.76894,
Tixcacalcupul,Tixcacalcupul,3492,20.53659,-88.27085,
San Gregorio Atzompa,Chipilo de Francisco Javier Mina,3493,19.01093,-98.33698,
Tahmek,Tahmek,3493,20.8728,-89.25512,
Ixtlahuac·n de los Membrillos,La Capilla del Refugio,3495,20.44376,-103.20285,
Tepetlaoxtoc,Santo Tom·s Apipilhuasco (Santo Tom·s),3495,19.54232,-98.74465,
Tonaya,Tonaya,3497,19.78687,-103.97079,
Atlautla,San AndrÈs Tlalamac,3497,18.96461,-98.80754,
San Fernando,General Francisco Villa,3498,25.01741,-98.0762,
San Francisco de los Romo,Ex-ViÒedos Guadalupe,3499,21.95909,-102.27494,
Teapa,Juan Aldama,3501,17.610278,-93.027222,
Etchojoa,Bacame Nuevo,3501,27.15737,-109.59172,
San Pedro Ixcatl·n,San Pedro Ixcatl·n,3504,18.1474,-96.51197,
TÈcpan de Galeana,Papanoa,3505,17.32491,-101.04479,
¡nimas Trujano,¡nimas Trujano,3505,16.99052,-96.71489,
Soconusco,Colonia Lealtad,3507,17.96299,-94.90057,
Progreso,Chelem,3509,21.26846,-89.74283,
San MartÌn Peras,San MartÌn Peras,3511,17.35867,-98.23843,
Tuxcueca,San Luis Soyatl·n,3512,20.19692,-103.30313,
Vicente Guerrero,Tepetzitzintla,3512,18.47273,-97.11303,
Tlajomulco de Z˙Òiga,Jardines de San Sebasti·n,3513,20.51927,-103.42208,
El MarquÈs,Atongo,3513,20.7719,-100.23905,
Temoac,Amilcingo,3515,18.73932,-98.77268,
General Felipe ¡ngeles,San Antonio Portezuelo,3515,18.99905,-97.72111,
Ahuacuotzingo,Ahuacuotzingo,3517,17.71368,-98.93341,
Telchac Pueblo,Telchac,3517,21.20109,-89.26889,
Jilotepec,San Pablo Huantepec,3518,19.968611,-99.492222,
Ignacio Zaragoza,Ignacio Zaragoza,3518,29.64587,-107.76441,
San Gabriel Mixtepec,San Gabriel Mixtepec,3518,16.09384,-97.08314,
Frontera Hidalgo,Frontera Hidalgo,3519,14.77888,-92.17691,
Mexticac·n,Mexticac·n,3520,21.26645,-102.77797,
Madera,El Largo,3522,29.68614,-108.27647,
Pahuatl·n,Ciudad de Pahuatl·n de Valle,3523,20.27674,-98.14702,
Xaloztoc,San Pedro Tlacotepec,3523,19.39546,-98.04525,
Guadalupe Victoria,Antonio Amaro (Saucillo),3526,24.27803,-104.01913,
Chilapa de ¡lvarez,Acatl·n,3526,17.65688,-99.16986,
Zapotitl·n de Vadillo,Zapotitl·n de Vadillo,3530,19.5475,-103.81094,
Tlalpujahua,Tlalpujahua de RayÛn,3530,19.8087,-100.17537,
Chignautla,Sosa,3530,19.80052,-97.399,
Quechultenango,Colotlipa,3531,17.41145,-99.16755,
Almoloya de Ju·rez,Santa MarÌa Nativitas,3532,19.358611,-99.771667,
Ensenada,Real del Castillo Nuevo (Ojos Negros),3533,31.91068,-116.27577,
NatÌvitas,Santiago Michac,3533,19.21957,-98.34121,
Tzintzuntzan,Tzintzuntzan,3534,19.62923,-101.57276,
Acayucan,Dehesa,3534,17.94163,-94.9981,
Tenancingo,San Juan Xochiaca,3536,19.01261,-99.53926,
QuerÈtaro,La Gotera,3536,20.86505,-100.37577,
Corregidora,Los Olvera,3539,20.53232,-100.40979,
Veracruz,Fraccionamiento el Campanario,3543,19.20796,-96.21992,
MÈrida,San JosÈ Tzal,3543,20.82731,-89.65813,
Santa LucÌa Ocotl·n,Santa LucÌa Ocotl·n,3544,16.73818,-96.68173,
Jojutla,Tequesquitengo,3548,18.61937,-99.26853,
San Felipe del Progreso,San Antonio de las Huertas,3549,19.55449,-99.97491,
Tamasopo,Tambaca,3550,21.96211,-99.30053,
San Ignacio,Dimas (EstaciÛn Dimas),3550,23.72239,-106.78014,
Huichapan,San JosÈ Atl·n,3557,20.34067,-99.67686,
Heroica Ciudad de Juchit·n de Zaragoza,¡lvaro ObregÛn,3558,16.29852,-95.08707,
Huejutla de Reyes,Chililico,3559,21.13353,-98.43766,
Cuitzeo,San AgustÌn del Pulque,3561,19.96453,-101.07474,
Toluca,Tlachaloya Primera SecciÛn,3563,19.44823,-99.66216,
Ayala,Jaloxtoc,3566,18.72269,-98.89903,
Atenco,Colonia el Salado,3567,19.583889,-98.991389,
Villaflores,Benito Ju·rez,3567,16.42606,-93.32218,
Cuautepec,Cuautepec,3567,16.74983,-99.00262,
Huitzilan de Serd·n,Huitzilan,3567,19.96916,-97.69394,
Tula de Allende,Bomintzha,3568,20.01386,-99.27417,
Amatl·n de los Reyes,Guadalupe (La Patrona),3569,18.81655,-96.92376,
Huitzuco de los Figueroa,Tuliman,3570,18.02897,-99.25587,
Tres Valles,Los Naranjos,3573,18.35433,-96.16613,
Tzintzuntzan,Ihuatzio,3575,19.56729,-101.61556,
San Juan del RÌo,Santa Rosa Xajay,3578,20.4329,-99.90186,
Tepeaca,San Nicol·s Zoyapetlayoca,3579,18.92148,-97.86619,
Villaflores,Guadalupe Victoria (L·zaro C·rdenas),3583,16.45708,-93.12707,
Silao,Colonias Nuevo MÈxico,3585,20.99258,-101.4819,
Nacajuca,Guatacalca,3585,18.16891,-92.97934,
MetlatÛnoc,MetlatÛnoc,3586,17.19551,-98.40584,
Villa Guerrero,Zacango,3586,18.96179,-99.70135,
Centla,CuauhtÈmoc,3589,18.39964,-92.95105,
Lagos de Moreno,Fraccionamiento Cristeros,3592,21.321026,-101.973456,
Axapusco,Santa MarÌa Aticpac,3592,19.8551,-98.74691,
Ixtaczoquitl·n,Tuxpanguillo,3594,18.78381,-97.01146,
Nacajuca,Saloya 2da. SecciÛn,3595,18.053056,-92.936389,
Tijuana,Parajes del Valle,3595,32.51353,-116.74137,
Sultepec,Sultepec de Pedro Ascencio de Alquisiras,3595,18.86279,-99.96626,
Tecamachalco,Santa Rosa,3597,18.88093,-97.7806,
Morelos,Barrio Cuarto (La Loma),3601,19.76247,-99.67487,
Olinal·,Temalacatzingo,3602,17.88554,-98.67899,
TangancÌcuaro,Patamban (Patambam),3602,19.80302,-102.28841,
Huehuetoca,Santa MarÌa,3604,19.84651,-99.20647,
San Vicente Coatl·n,San Vicente Coatl·n,3606,16.38888,-96.84377,
Hueyapan de Ocampo,Hueyapan de Ocampo,3608,18.15058,-95.14579,
Ayotzintepec,Ayotzintepec,3609,17.6736,-96.13123,
Viesca,Viesca,3610,25.34163,-102.80589,
Zumpango,Colonia Santa LucÌa,3610,19.77326,-99.02264,
Lerma,San Francisco Xochicuautla,3613,19.36996,-99.44884,
Chiautempan,San Pedro Tlalcuapan de Nicol·s Bravo,3613,19.28608,-98.15958,
Matlapa,Chalchocoyo,3614,21.31417,-98.79078,
Huehuetoca,Villa URBI del Rey,3616,19.839445,-99.251667,
Santiago ApÛstol,Santiago ApÛstol,3616,16.80156,-96.71806,
Casimiro Castillo,Lo Arado,3617,19.62332,-104.53733,
Eduardo Neri,Xochipala,3620,17.81049,-99.63872,
Rosamorada,Rosamorada,3620,22.12075,-105.20775,
Ixhuat·n,Ixhuat·n,3621,17.29422,-93.00774,
Nazas,Nazas,3622,25.22418,-104.11124,
Uruapan,Santa Rosa (Santa B·rbara),3622,19.38347,-102.03493,
Pedro Escobedo,San Fandila,3623,20.50604,-100.21616,
Chalco,San Lucas Amalinalco,3626,19.27092,-98.86481,
MÈrida,Chablekal,3626,21.09477,-89.57491,
Ixtacuixtla de Mariano Matamoros,San Diego Xocoyucan,3628,19.30848,-98.37585,
Donato Guerra,San AgustÌn de las Palmas (San AgustÌn),3630,19.32318,-100.15079,
Tepeaca,San Pablo Actipan,3631,18.93578,-97.9027,
Izamal,Kimbil·,3633,20.93429,-89.12413,
Fresnillo,Miguel Hidalgo (Hidalgo),3633,23.077,-102.71934,
Coyuca de BenÌtez,Tixtlancingo,3635,17.05727,-99.96248,
Coyuca de BenÌtez,Tepetixtla,3636,17.21456,-100.11677,
Iz˙car de Matamoros,San Juan Raboso,3637,18.56759,-98.44216,
Santa MarÌa Mixtequilla,Santa MarÌa Mixtequilla,3638,16.37802,-95.25889,
Zumpango,Santa LucÌa,3639,19.74897,-98.98067,
Ju·rez,Benito Ju·rez,3639,19.31287,-100.43564,
Bustamante,Bustamante,3640,26.53026,-100.50815,
Uruapan,Toreo Bajo (El Toreo Bajo),3642,19.44524,-102.00775,
Valle Hermoso,An·huac,3642,25.77602,-97.78553,
Tianguistenco,San Nicol·s Coatepec de las Bateas,3645,19.13666,-99.43191,
Huej˙car,Huej˙car,3647,22.36385,-103.21016,
Car·cuaro,Car·cuaro de Morelos,3653,19.0215,-101.12285,
Frontera Comalapa,Paso Hondo,3654,15.68184,-92.0187,
Mexicali,Nuevo LeÛn,3655,32.40843,-115.18792,
Tala,San Isidro Mazatepec,3655,20.52029,-103.61434,
Melchor Ocampo,Colonia 2 de Septiembre,3656,19.700556,-99.116667,
Atoyac de ¡lvarez,El ParaÌso,3656,17.34083,-100.23173,
San Pablo Etla,San Pablo Etla,3658,17.14988,-96.75713,
MaravatÌo,Santiago PuriatzÌcuaro,3660,19.88363,-100.58781,
Veracruz,Fraccionamiento Costa Dorada,3660,19.20832,-96.21646,
Tala,Cuisillos,3663,20.61052,-103.77383,
San Felipe,Laguna de Guadalupe,3667,21.80044,-101.35587,
Tolim·n,San Pablo Tolim·n,3667,20.85694,-99.89644,
Tecoanapa,Xalpatl·huac,3668,17.02254,-99.32842,
Villa de Ramos,Salitral de Carrera,3669,22.86688,-102.08593,
Nacajuca,Libertad,3669,18.02166,-92.95771,
Apaseo El Grande,San Pedro Tenango,3674,20.50883,-100.63213,
Milpa Alta,San Lorenzo Tlacoyucan,3676,19.177,-99.03338,
Tezontepec de Aldama,Atengo,3677,20.17206,-99.3245,
Ayala,Moyotepec,3677,18.72283,-98.99608,
Ocampo,Ocampo,3679,27.31377,-102.39851,
Huimanguillo,C-41 (Licenciado Carlos A. Madrazo),3680,17.92205,-93.45179,
Nextlalpan,San Miguel Jaltocan,3681,19.71883,-99.04876,
Puebla,San Baltazar Tetela,3683,18.91073,-98.17376,
Jilotepec,La ConcepciÛn,3684,19.60681,-96.9036,
Ayapango,Ayapango de Gabriel Ramos M.,3687,19.129,-98.80475,
Villamar,Emiliano Zapata,3687,19.99071,-102.61304,
Jojutla,Unidad Habitacional JosÈ MarÌa Morelos y PavÛn,3688,18.62033,-99.21738,
Huejutla de Reyes,Coacuilco,3689,21.10455,-98.58481,
Guasave,Corerepe (El Gallo),3689,25.62346,-108.71024,
Playa Vicente,Abasolo del Valle,3691,17.78318,-95.54557,
Huatabampo,Yavaros (Isla las Viejas),3692,26.70991,-109.55619,
Jilotzingo,San Luis Ayucan,3693,19.49644,-99.35911,
La Trinitaria,L·zaro C·rdenas,3699,16.11544,-91.83422,
San Juan CotzocÛn,San Juan CotzocÛn,3700,17.1631,-95.78683,
Tepeji del RÌo de Ocampo,Tinajas,3705,19.89772,-99.36402,
Mineral de la Reforma,Forjadores de Pachuca,3706,20.05478,-98.76329,
Gral. Zuazua,Hacienda San Pedro,3707,25.912778,-100.156945,
San AgustÌn Etla,San AgustÌn Etla,3708,17.18903,-96.76413,
San AgustÌn Yatareni,San AgustÌn Yatareni,3709,17.07823,-96.67866,
San Felipe Orizatl·n,Ahuatitla,3710,21.16261,-98.6644,
Ahome,Primero de Mayo,3710,25.73944,-108.93467,
Celaya,San Isidro Crespo,3711,20.51638,-100.88312,
Tonal·,San Francisco de la Soledad (San Francisco),3713,20.56628,-103.18202,
San Luis Acatl·n,Pueblo Hidalgo,3716,16.95182,-98.65962,
Cuzam·,Cuzam·,3721,20.7407,-89.32125,
Sacalum,Sacalum,3721,20.49474,-89.58995,
Oxchuc,Yoshib,3722,16.8485,-92.44483,
Metepec,San Lorenzo Coacalco (San Lorenzo),3722,19.24379,-99.5898,
Chilchota,Hu·ncito,3722,19.84987,-102.06842,
Temoaya,Jiquipilco el Viejo,3724,19.515833,-99.572222,
Tochtepec,San Lorenzo Ometepec,3724,18.85542,-97.85344,
Badiraguato,Badiraguato,3725,25.36266,-107.55308,
Caborca,Plutarco ElÌas Calles (La Y Griega),3725,30.80693,-112.72373,
Zapopan,San Esteban (San Miguel Tateposco),3726,20.80116,-103.37328,
Lagos de Moreno,Paso de Cuarenta (San Miguel de Cuarenta),3727,21.50402,-101.7562,
Chiautla,Santiago Chimalpa (Chimalpa),3727,19.57432,-98.90544,
Ixil,Ixil,3728,21.15316,-89.481,
Apaseo El Alto,San Juan del Llanito,3729,20.51759,-100.5374,
MapimÌ,Ceballos,3730,26.52734,-104.13177,
Guanajuato,San JosÈ de Llanos,3732,20.85401,-101.30954,
Villa de la Paz,Villa de la Paz,3734,23.67672,-100.70352,
San Felipe del Progreso,Emilio Portes Gil,3737,19.6457,-99.91862,
Huimanguillo,C-40 (Ernesto Aguirre Colorado),3738,17.9317,-93.50663,
Aguascalientes,Norias de Ojocaliente,3741,21.89116,-102.21707,
Pueblo Nuevo,Pueblo Nuevo,3741,20.52671,-101.37305,
Tahdzi˙,Tahdzi˙,3742,20.20216,-88.94358,
Mineral de la Reforma,El Saucillo (Fraccionamiento),3743,20.06704,-98.732,
Matamoros,RamÌrez,3743,25.94795,-97.7809,
Tasquillo,Tasquillo,3744,20.54967,-99.31321,
Temascalcingo,Santiago Coachochitl·n,3746,19.86904,-100.02637,
Apaxco,Santa MarÌa Apaxco,3747,19.95409,-99.18902,
Paracho,Nurio,3749,19.65699,-102.12974,
Los Reyes de Ju·rez,Benito Ju·rez,3751,19.00865,-97.8573,
Jiquipilco,Manzana Tercera de Santa Cruz Tepexpan,3753,19.569167,-99.703611,
San Pedro Lagunillas,San Pedro Lagunillas,3753,21.21683,-104.75327,
Tamasopo,Agua Buena,3753,21.95981,-99.39592,
Tlahuapan,Santa MarÌa Texmelucan,3754,19.29271,-98.54143,
Huautla,Huautla,3755,21.03353,-98.28519,
Toluca,Barrio Santa Cruz,3757,19.347,-99.66808,
TarÌmbaro,TÈjaro de los Izquierdo,3758,19.83298,-101.09741,
MatÌas Romero AvendaÒo,Palomares,3760,17.13506,-95.06321,
Tlaola,Xaltepuxtla,3761,20.17611,-97.97283,
Hostotipaquillo,Hostotipaquillo,3762,21.05822,-104.05106,
ChampotÛn,Santo Domingo KestÈ,3763,19.49922,-90.51141,
Eduardo Neri,Mezcala,3763,17.93094,-99.60262,
Atotonilco El Alto,Fraccionamiento Vistas del Maguey,3765,20.528045,-102.523311,
Temoaya,San Diego Alcal·,3766,19.4634,-99.6103,
San AndrÈs Tuxtla,Sihuapan,3767,18.43664,-95.17845,
Aculco,San Lucas Totolmaloya,3770,20.16091,-99.8925,
Playa Vicente,Nuevo Ixcatl·n,3770,17.64216,-95.43647,
Zinacant·n,PastÈ,3771,16.70801,-92.73854,
Matamoros,El Cambio,3773,25.64056,-103.32705,
